name,lon_lat,coor_type,category
قلمة ابو القرب,"[[47.789712, 18.754628]]",POINT,أسماء ثانوية
قلمة الحرشاء,"[[51.712625, 19.343512]]",POINT,أسماء ثانوية
قلمة الطويلة,"[[48.404388, 18.839149]]",POINT,أسماء ثانوية
قلمة ام الشلوخ,"[[49.199524, 18.707657]]",POINT,أسماء ثانوية
قلمة ام العلاقاء,"[[46.424618, 19.451122]]",POINT,أسماء ثانوية
قلمة ام شداد,"[[46.333122, 18.723278]]",POINT,أسماء ثانوية
قلمة حمراء نثيل,"[[46.508217, 18.493595]]",POINT,أسماء ثانوية
قلمة خجيمة,"[[47.115254, 18.300755]]",POINT,أسماء ثانوية
قلمة قعمان,"[[45.924397, 18.734779]]",POINT,أسماء ثانوية
قلمة مرقعان,"[[48.90152, 18.538399]]",POINT,أسماء ثانوية
قلمة مزوعان,"[[46.133823, 18.530846]]",POINT,أسماء ثانوية
قوز الدامر,"[[47.304296, 17.730303]]",POINT,أسماء ثانوية
مختم هضبات,"[[49.84643, 18.556166]]",POINT,أسماء ثانوية
مركز الخضراء,"[[44.719419, 17.444701]]",POINT,أسماء ثانوية
مسقا بشر القديم,"[[47.27917, 17.066381]]",POINT,أسماء ثانوية
مشابك الخشناء,"[[47.918329, 18.191557]]",POINT,أسماء ثانوية
مشابك الملح,"[[49.175234, 18.409224]]",POINT,أسماء ثانوية
مشاش الرمضة,"[[45.346413, 19.395075]]",POINT,أسماء ثانوية
مشاش الرمضة,"[[45.361176, 19.305553]]",POINT,أسماء ثانوية
مغدرات,"[[47.333307, 18.08341]]",POINT,أسماء ثانوية
منتزة موعاة,"[[43.758652, 17.626297]]",POINT,أسماء ثانوية
منقع نجران,"[[45.055854, 17.627156]]",POINT,أسماء ثانوية
هوات العيد,"[[48.522234, 18.198423]]",POINT,أسماء ثانوية
هيشة ردنة,"[[47.34189, 17.247763]]",POINT,أسماء ثانوية
آل أبوغبار,"[[43.773007, 17.738349]]",POINT,أسماء رئيسة
ابا السعود,"[[44.112103, 17.456524]]",POINT,أسماء رئيسة
ابو همدان,"[[44.076955, 17.452662]]",POINT,أسماء رئيسة
ال بحري,"[[43.997777, 17.793603]]",POINT,أسماء رئيسة
ال خفران,"[[43.756614, 17.599561]]",POINT,أسماء رئيسة
ال راكه -ديار يام,"[[44.115708, 18.142354]]",POINT,أسماء رئيسة
ال صومان,"[[43.77172, 17.58673]]",POINT,أسماء رئيسة
ال عريج,"[[43.758609, 17.493196]]",POINT,أسماء رئيسة
ال قنه,"[[43.758545, 17.72717]]",POINT,أسماء رئيسة
الاخذود,"[[44.179716, 17.477596]]",POINT,أسماء رئيسة
البيضاء,"[[44.357493, 18.208594]]",POINT,أسماء رئيسة
الجفة,"[[43.915272, 17.768154]]",POINT,أسماء رئيسة
الجهوش - آل عيسى,"[[43.74861, 17.599454]]",POINT,أسماء رئيسة
الجوشن,"[[43.861649, 18.137956]]",POINT,أسماء رئيسة
الحاجر,"[[43.621817, 17.501693]]",POINT,أسماء رئيسة
الحجف,"[[44.164181, 17.869949]]",POINT,أسماء رئيسة
الحرشف,"[[43.882227, 17.668934]]",POINT,أسماء رئيسة
الحصينية,"[[44.442852, 17.81343]]",POINT,أسماء رئيسة
الحصينية,"[[44.445491, 17.814631]]",POINT,أسماء رئيسة
الحضن,"[[44.121609, 17.460451]]",POINT,أسماء رئيسة
الحمر,"[[44.181454, 17.469485]]",POINT,أسماء رئيسة
الحمضة,"[[43.720243, 17.856753]]",POINT,أسماء رئيسة
الحياء,"[[43.800559, 17.970006]]",POINT,أسماء رئيسة
الخالدة,"[[45.100744, 18.94691]]",POINT,أسماء رئيسة
الخضراء,"[[44.436951, 17.54036]]",POINT,أسماء رئيسة
الرحاب,"[[43.896904, 18.010905]]",POINT,أسماء رئيسة
الرفاع,"[[44.274731, 18.436174]]",POINT,أسماء رئيسة
الرون - آل العون,"[[43.744984, 17.592223]]",POINT,أسماء رئيسة
الزبادين,"[[43.744168, 17.614582]]",POINT,أسماء رئيسة
الزبادين,"[[43.77305, 17.573683]]",POINT,أسماء رئيسة
الزور الابيض,"[[43.942502, 17.854607]]",POINT,أسماء رئيسة
السود,"[[44.014835, 17.570915]]",POINT,أسماء رئيسة
الشط - ابن منصر,"[[43.746936, 17.596385]]",POINT,أسماء رئيسة
الشلال,"[[44.186411, 17.515125]]",POINT,أسماء رئيسة
الصفاء,"[[44.076848, 17.465]]",POINT,أسماء رئيسة
الصفاح,"[[43.870254, 18.297386]]",POINT,أسماء رئيسة
الظاهرة - آل عبية,"[[43.747473, 17.594433]]",POINT,أسماء رئيسة
العرقوب,"[[43.838604, 17.74807]]",POINT,أسماء رئيسة
العريسة,"[[44.30769, 17.559071]]",POINT,أسماء رئيسة
العضبات,"[[44.075582, 18.164349]]",POINT,أسماء رئيسة
العين و القرين,"[[44.160233, 18.127141]]",POINT,أسماء رئيسة
الغافية,"[[43.980911, 18.041933]]",POINT,أسماء رئيسة
الغيظه,"[[44.076526, 17.476845]]",POINT,أسماء رئيسة
الغييبه,"[[44.366119, 18.220289]]",POINT,أسماء رئيسة
الفايجه,"[[43.961663, 17.849457]]",POINT,أسماء رئيسة
الفرع,"[[43.768909, 17.672625]]",POINT,أسماء رئيسة
القرضية,"[[44.391632, 17.809138]]",POINT,أسماء رئيسة
القرن,"[[43.713183, 17.722063]]",POINT,أسماء رئيسة
المجمع,"[[43.966255, 17.764206]]",POINT,أسماء رئيسة
المحال,"[[43.754597, 17.721226]]",POINT,أسماء رئيسة
المحيريق,"[[43.707497, 17.901664]]",POINT,أسماء رئيسة
المختلف,"[[43.714728, 17.708373]]",POINT,أسماء رئيسة
المراجل,"[[43.963337, 17.862504]]",POINT,أسماء رئيسة
المشعليه,"[[44.448302, 17.755945]]",POINT,أسماء رئيسة
المشنة - بير ابن داحن,"[[43.741937, 17.59557]]",POINT,أسماء رئيسة
المليحه,"[[43.806353, 17.954278]]",POINT,أسماء رئيسة
الموفجة,"[[44.053695, 17.437234]]",POINT,أسماء رئيسة
النبعه,"[[43.982134, 17.802572]]",POINT,أسماء رئيسة
النقعاء,"[[43.949325, 17.698438]]",POINT,أسماء رئيسة
النكاسي,"[[44.327517, 17.566195]]",POINT,أسماء رئيسة
الهييله,"[[44.407511, 18.172781]]",POINT,أسماء رئيسة
الواديين,"[[44.001639, 18.282774]]",POINT,أسماء رئيسة
الوديعة,"[[47.094655, 17.06636]]",POINT,أسماء رئيسة
الوطن,"[[43.756206, 17.724144]]",POINT,أسماء رئيسة
بدر الجنوب,"[[43.719707, 17.888575]]",POINT,أسماء رئيسة
بير العطف - آل عردومان,"[[43.752215, 17.600827]]",POINT,أسماء رئيسة
تالبان,"[[43.916388, 17.671101]]",POINT,أسماء رئيسة
تريمة,"[[43.922138, 17.90617]]",POINT,أسماء رئيسة
تنما,"[[43.715823, 17.836089]]",POINT,أسماء رئيسة
ثار,"[[44.078178, 17.982817]]",POINT,أسماء رئيسة
ثجر,"[[44.771283, 18.369913]]",POINT,أسماء رئيسة
حبونا,"[[44.020543, 17.847054]]",POINT,أسماء رئيسة
حبونا,"[[43.945291, 17.68537]]",POINT,أسماء رئيسة
حمى,"[[44.455147, 18.245201]]",POINT,أسماء رئيسة
حيرة القبيلة,"[[47.007494, 17.149401]]",POINT,أسماء رئيسة
خباش,"[[44.712338, 17.553105]]",POINT,أسماء رئيسة
خرخير,"[[51.122367, 18.853784]]",POINT,أسماء رئيسة
دوح,"[[43.924584, 17.672839]]",POINT,أسماء رئيسة
رجلاء,"[[44.218941, 17.502937]]",POINT,أسماء رئيسة
