city,branch_postal_code,building_number,lat,lon,subtype_name,branch_id,brand_name_en,brand_name_ar,brand_logo_link,brand_website,brand_size,brand_price_range,brand_instagram_link,brand_type,brand_categories,branch_rating,branch_status,branch_opening_hours,branch_amenities,branch_accessibility_facilities,branch_national_short_address,branch_payment_methods,branch_phone_number,street_aname,street_ename,district,branch_reviews
الرياض,13521.0,,24.7885891763741,46.6173018053402,Trading Center,,,,,,,,,,,,,,,,RRMG3312,,,سعود ابن فيصل الفرعي,Saud Ibn Faisal Branch,,
الرياض,nan,,24.8081346324292,46.6186851248265,Trading Center,,,,,,,,,,,,,,,,nan,,,nan,nan,,
الرياض,nan,,24.8078776506404,46.6186208793794,Mosque,,,,,,,,,,,,,,,,nan,,,nan,nan,,
الرياض,13521.0,,24.7890055820503,46.6183487681829,Middle Eastern Restaurant,,,,,,,,,,,,,,,,RRMC3414,,,سعود ابن فيصل الفرعي,Saud Ibn Faisal Branch,,
الرياض,13521.0,,24.7891067091429,46.618652149461,Fast Food,,,,,,,,,,,,,,,,RRMC3442,,,سعود ابن فيصل الفرعي,Saud Ibn Faisal Branch,,
الرياض,13521.0,,24.7972838563554,46.6187568096789,Hotel,,,,,,,,,,,,,,,,RRME3443,,,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,,
الرياض,13521.0,,24.8081596167696,46.619031336403,Fast Food,,,,,,,,,,,,,,,,RRMA3449,,,انس بن مالك,Anas Ibn Malik,,
الرياض,13521.0,,24.7892018875831,46.6188603522991,Fast Food,,,,,,,,,,,,,,,,RRMB3468,,,سعود ابن فيصل الفرعي,Saud Ibn Faisal Branch,,
الرياض,13521.0,,24.8083380763451,46.6192669030426,Trading Center,,,,,,,,,,,,,,,,RRME3483,,,انس بن مالك,Anas Ibn Malik,,
الرياض,13521.0,,24.8083309379623,46.6195452999802,Other,,,,,,,,,,,,,,,,RRMB3499,,,انس بن مالك,Anas Ibn Malik,,
الرياض,13521.0,,24.7928751,46.6196227,Trading Center,,,,,,,,,,,,,,,,RRMC3545,,,الحماسة,Al Hamaseih,,
الرياض,13521.0,,24.8086485960065,46.6196595141087,Company & Institution,,,,,,,,,,,,,,,,RRMB3551,,,انس بن مالك,Anas Ibn Malik,,
الرياض,13521.0,,24.8085129667291,46.6197094827898,Fast Food,,,,,,,,,,,,,,,,RRMB3551,,,انس بن مالك,Anas Ibn Malik,,
الرياض,13521.0,,24.8088556091141,46.6200949554728,Fast Food,,,,,,,,,,,,,,,,RRMB3551,,,انس بن مالك,Anas Ibn Malik,,
الرياض,13521.0,,24.8083916142179,46.6197701590455,Other,,,,,,,,,,,,,,,,RRMB3551,,,انس بن مالك,Anas Ibn Malik,,
الرياض,13521.0,,24.7980076150001,46.6199471560001,Trading Center,,,,,,,,,,,,,,,,RRMB3565,,,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,,
الرياض,13521.0,,24.7897253690045,46.6199192124467,Trading Center,,,,,,,,,,,,,,,,RRMB3566,,,سعود ابن فيصل الفرعي,Saud Ibn Faisal Branch,,
الرياض,nan,,24.7954761484202,46.6203152376647,Primary school,,,,,,,,,,,,,,,,nan,,,nan,nan,,
الرياض,13521.0,,24.7897551122672,46.6201214666323,Fast Food,,,,,,,,,,,,,,,,RRMA3594,,,سعود ابن فيصل الفرعي,Saud Ibn Faisal Branch,,
الرياض,13521.0,,24.7900228016303,46.6207163318837,Trading Center,,,,,,,,,,,,,,,,RRMC3656,,,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,,
الرياض,13521.0,,24.7901001341129,46.6209423806794,ATM Machine,,,,,,,,,,,,,,,,RRMD3682,,,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,,
الرياض,13521.0,,24.7992879177302,46.6213133818992,Hotel,,,,,,,,,,,,,,,,RRMF3700,,,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,,
الرياض,13521.0,,24.7901908000002,46.6211892000001,Trading Center,,,,,,,,,,,,,,,,RRMB3706,,,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,,
الرياض,13521.0,,24.8010116,46.6213906000001,Trading Center,,,,,,,,,,,,,,,,RRMC3710,,,وادي نوار,Wadi Nawar,,
الرياض,13521.0,,24.7985735242207,46.6213313864874,Hotel,,,,,,,,,,,,,,,,RRMC3711,,,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,,
الرياض,13521.0,,24.7903373366321,46.6216562189811,Fast Food,,,,,,,,,,,,,,,,RRMA3734,,,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,,
