name,lon_lat,coor_type,category,city
مطل قرية بني يزيد,"[[41.219544, 20.253038]]",POINT,أسماء ثانوية,albaha
معازب رعاة الغنم,"[[41.219673, 20.331359]]",POINT,أسماء ثانوية,albaha
معازب رعاة الغنم,"[[41.219308, 20.334342]]",POINT,أسماء ثانوية,albaha
مقرى سويد,"[[41.202571, 20.281019]]",POINT,أسماء ثانوية,albaha
مقيال الرعيان,"[[41.224501, 20.322132]]",POINT,أسماء ثانوية,albaha
ملحان,"[[41.206841, 20.302305]]",POINT,أسماء ثانوية,albaha
منتزة الشكران,"[[41.701999, 19.839377]]",POINT,أسماء ثانوية,albaha
منتزة الغير,"[[41.528041, 19.942911]]",POINT,أسماء ثانوية,albaha
منتزة القمع,"[[41.69951, 19.80835]]",POINT,أسماء ثانوية,albaha
منتزة رهدا,"[[41.25761, 20.38481]]",POINT,أسماء ثانوية,albaha
منتزة غابة رغدان,"[[41.433177, 20.02166]]",POINT,أسماء ثانوية,albaha
منتزه الفرش,"[[41.558962, 19.991684]]",POINT,أسماء ثانوية,albaha
منتزه ربا,"[[41.18886, 19.986899]]",POINT,أسماء ثانوية,albaha
منتزه غابة خير,"[[41.39878, 20.05271]]",POINT,أسماء ثانوية,albaha
منجم الردوه,"[[41.599646, 20.43294]]",POINT,أسماء ثانوية,albaha
منجم غزة,"[[41.684489, 20.344362]]",POINT,أسماء ثانوية,albaha
منطقة وراخ,"[[41.546216, 20.653846]]",POINT,أسماء ثانوية,albaha
نفق تالبة,"[[41.42498, 20.05801]]",POINT,أسماء ثانوية,albaha
نفق قلوة,"[[41.31355, 19.885533]]",POINT,أسماء ثانوية,albaha
حداد,"[[41.200147, 20.595396]]",POINT,أسماء ثانوية,albaha
حدبة الحمراء,"[[41.014774, 19.701126]]",POINT,أسماء ثانوية,albaha
حدبة لكمة,"[[41.004002, 19.679196]]",POINT,أسماء ثانوية,albaha
حرة البرقا,"[[41.635823, 20.501947]]",POINT,أسماء ثانوية,albaha
حرة الروضه,"[[41.58999, 20.32166]]",POINT,أسماء ثانوية,albaha
حرة الطية,"[[41.693609, 20.497506]]",POINT,أسماء ثانوية,albaha
حصن الحاوي,"[[41.272008, 20.344856]]",POINT,أسماء ثانوية,albaha
حصن الزربة,"[[41.160471, 20.109487]]",POINT,أسماء ثانوية,albaha
حصن السقا,"[[41.488795, 19.975784]]",POINT,أسماء ثانوية,albaha
حصن السوق,"[[41.142705, 20.237803]]",POINT,أسماء ثانوية,albaha
حصن العسيلة,"[[41.20285, 20.37627]]",POINT,أسماء ثانوية,albaha
حصن العلي,"[[41.358912, 20.024171]]",POINT,أسماء ثانوية,albaha
حصن الغلة,"[[41.241732, 20.240228]]",POINT,أسماء ثانوية,albaha
حصن القعافي,"[[41.213558, 20.32357]]",POINT,أسماء ثانوية,albaha
حصن القنعة,"[[41.359556, 20.025051]]",POINT,أسماء ثانوية,albaha
حصن القهيب,"[[41.06389, 20.138433]]",POINT,أسماء ثانوية,albaha
حصن حنيش,"[[41.160665, 20.110066]]",POINT,أسماء ثانوية,albaha
حصن دعيب,"[[41.237826, 20.304666]]",POINT,أسماء ثانوية,albaha
حصن سعد,"[[41.360457, 20.024042]]",POINT,أسماء ثانوية,albaha
حصن سفيان,"[[41.090112, 20.081334]]",POINT,أسماء ثانوية,albaha
حصن قرية,"[[41.156459, 20.386956]]",POINT,أسماء ثانوية,albaha
حصن لمغروس,"[[41.20785, 20.316253]]",POINT,أسماء ثانوية,albaha
حليان لهايل,"[[41.786692, 20.611854]]",POINT,أسماء ثانوية,albaha
حمى الجبور,"[[41.250808, 20.291126]]",POINT,أسماء ثانوية,albaha
حمى الحميد,"[[41.721439, 19.872122]]",POINT,أسماء ثانوية,albaha
حوره,"[[41.590548, 19.965484]]",POINT,أسماء ثانوية,albaha
خبة القوعاء,"[[40.904846, 20.038719]]",POINT,أسماء ثانوية,albaha
خشم الاحمر,"[[41.17238, 20.25409]]",POINT,أسماء ثانوية,albaha
خو العقيربان,"[[41.348634, 20.045843]]",POINT,أسماء ثانوية,albaha
دوس,"[[41.22242, 20.296211]]",POINT,أسماء ثانوية,albaha
ذيهدا,"[[41.363611, 19.719472]]",POINT,أسماء ثانوية,albaha
راس الصخره,"[[41.2236, 20.32475]]",POINT,أسماء ثانوية,albaha
راس غليسه,"[[41.209009, 20.291362]]",POINT,أسماء ثانوية,albaha
راك المحسني,"[[40.978167, 19.676836]]",POINT,أسماء ثانوية,albaha
راك المطهر,"[[41.004775, 19.690869]]",POINT,أسماء ثانوية,albaha
راك المنطف,"[[41.044815, 19.692972]]",POINT,أسماء ثانوية,albaha
راك خطيفان,"[[41.022713, 19.68426]]",POINT,أسماء ثانوية,albaha
ركيب السميرا,"[[41.283338, 19.804058]]",POINT,أسماء ثانوية,albaha
ركيب المعين,"[[41.291234, 19.824851]]",POINT,أسماء ثانوية,albaha
ركيب مناع,"[[41.305912, 19.80159]]",POINT,أسماء ثانوية,albaha
رهو الاثب,"[[41.345115, 20.04035]]",POINT,أسماء ثانوية,albaha
رهو رباع,"[[41.351938, 20.040565]]",POINT,أسماء ثانوية,albaha
رهي السقيفه,"[[41.218493, 20.325522]]",POINT,أسماء ثانوية,albaha
ريع اكتد,"[[41.080284, 20.037775]]",POINT,أسماء ثانوية,albaha
ريع الشغار,"[[41.128929, 20.058782]]",POINT,أسماء ثانوية,albaha
ريع الكحل,"[[41.672065, 19.995418]]",POINT,أسماء ثانوية,albaha
بادية غامد,"[[41.711118, 19.966214]]",POINT,أسماء ثانوية,albaha
بركة عيون الحمام,"[[41.299968, 19.818864]]",POINT,أسماء ثانوية,albaha
بلاد غامد,"[[41.642389, 19.904737]]",POINT,أسماء ثانوية,albaha
بلحنكة,"[[41.086614, 20.026252]]",POINT,أسماء ثانوية,albaha
بور الصيد,"[[41.348891, 20.045028]]",POINT,أسماء ثانوية,albaha
بير الضبيعة,"[[41.159892, 20.109293]]",POINT,أسماء ثانوية,albaha
تالبة الربيان,"[[41.426182, 20.063868]]",POINT,أسماء ثانوية,albaha
تل فريك القمع,"[[41.696162, 19.79393]]",POINT,أسماء ثانوية,albaha
اراك الصابر,"[[40.996706, 19.706168]]",POINT,أسماء ثانوية,albaha
ال دغمان,"[[41.403694, 20.20802]]",POINT,أسماء ثانوية,albaha
الاخرقه,"[[41.096013, 20.024643]]",POINT,أسماء ثانوية,albaha
الاساحة,"[[41.355951, 19.741187]]",POINT,أسماء ثانوية,albaha
البارده,"[[41.081443, 20.081635]]",POINT,أسماء ثانوية,albaha
الثغره,"[[41.207013, 20.278165]]",POINT,أسماء ثانوية,albaha
الثوده,"[[41.199524, 20.35964]]",POINT,أسماء ثانوية,albaha
الجزعة,"[[41.24759, 20.279109]]",POINT,أسماء ثانوية,albaha
الجفوف,"[[41.224179, 20.336723]]",POINT,أسماء ثانوية,albaha
الحازم,"[[40.98454, 20.188193]]",POINT,أسماء ثانوية,albaha
الحازم,"[[41.246388, 20.301297]]",POINT,أسماء ثانوية,albaha
الحجير,"[[41.423843, 20.02106]]",POINT,أسماء ثانوية,albaha
الحدب,"[[41.497078, 19.794509]]",POINT,أسماء ثانوية,albaha
الحزم,"[[41.871428, 20.462573]]",POINT,أسماء ثانوية,albaha
الحلق,"[[41.195254, 20.040929]]",POINT,أسماء ثانوية,albaha
الحماطه,"[[41.285162, 19.75492]]",POINT,أسماء ثانوية,albaha
الحمراء,"[[41.081057, 20.078008]]",POINT,أسماء ثانوية,albaha
الحمول,"[[41.365843, 19.944649]]",POINT,أسماء ثانوية,albaha
الخرق,"[[40.967546, 20.192807]]",POINT,أسماء ثانوية,albaha
الدارة,"[[42.102721, 20.513213]]",POINT,أسماء ثانوية,albaha
الدبة,"[[40.979326, 19.657416]]",POINT,أسماء ثانوية,albaha
الذنبه,"[[41.194418, 20.27293]]",POINT,أسماء ثانوية,albaha
الذنبه,"[[41.345716, 20.041144]]",POINT,أسماء ثانوية,albaha
الربوه,"[[41.150429, 20.48182]]",POINT,أسماء ثانوية,albaha
الريع الاسفل,"[[41.091056, 20.08142]]",POINT,أسماء ثانوية,albaha
الريع الاعلى,"[[41.081636, 20.086205]]",POINT,أسماء ثانوية,albaha
السطايح,"[[41.21448, 20.332689]]",POINT,أسماء ثانوية,albaha
السطايح,"[[41.350286, 20.042217]]",POINT,أسماء ثانوية,albaha
السقيفة,"[[41.249757, 20.378544]]",POINT,أسماء ثانوية,albaha
السكع,"[[41.549928, 19.849999]]",POINT,أسماء ثانوية,albaha
الشرفة,"[[41.593831, 19.889181]]",POINT,أسماء ثانوية,albaha
الشظي,"[[41.350522, 20.038869]]",POINT,أسماء ثانوية,albaha
الشعب الاسود,"[[41.406698, 20.061679]]",POINT,أسماء ثانوية,albaha
الشعبة,"[[40.98572, 20.195274]]",POINT,أسماء ثانوية,albaha
الشعيرة,"[[41.180449, 19.496698]]",POINT,أسماء ثانوية,albaha
الشقيب,"[[41.113715, 20.22053]]",POINT,أسماء ثانوية,albaha
الشنان,"[[41.344535, 20.042024]]",POINT,أسماء ثانوية,albaha
الصحون,"[[41.353269, 20.038118]]",POINT,أسماء ثانوية,albaha
الصخره,"[[41.282308, 19.754233]]",POINT,أسماء ثانوية,albaha
الصواعده,"[[41.082387, 20.030093]]",POINT,أسماء ثانوية,albaha
العجمه,"[[41.632197, 19.93304]]",POINT,أسماء ثانوية,albaha
العمياء,"[[41.226432, 20.259047]]",POINT,أسماء ثانوية,albaha
العيص,"[[41.323571, 20.087879]]",POINT,أسماء ثانوية,albaha
الغاير,"[[41.220961, 20.26381]]",POINT,أسماء ثانوية,albaha
الفرائد,"[[41.010933, 19.701083]]",POINT,أسماء ثانوية,albaha
الفرح,"[[41.71541, 19.843411]]",POINT,أسماء ثانوية,albaha
الفرشة,"[[41.312113, 19.884181]]",POINT,أسماء ثانوية,albaha
الفقاس,"[[41.082022, 20.027261]]",POINT,أسماء ثانوية,albaha
الفيشة,"[[41.148069, 20.24188]]",POINT,أسماء ثانوية,albaha
القاره,"[[41.32973, 19.851394]]",POINT,أسماء ثانوية,albaha
القرى,"[[41.265206, 19.909844]]",POINT,أسماء ثانوية,albaha
القزعه الحمراء,"[[41.21918, 20.336101]]",POINT,أسماء ثانوية,albaha
القنا,"[[41.283295, 19.757001]]",POINT,أسماء ثانوية,albaha
القوز,"[[41.245401, 19.425631]]",POINT,أسماء ثانوية,albaha
الكوفشه,"[[41.218944, 20.321488]]",POINT,أسماء ثانوية,albaha
الكيرس,"[[41.216648, 20.311189]]",POINT,أسماء ثانوية,albaha
المترنجح,"[[41.350286, 20.040286]]",POINT,أسماء ثانوية,albaha
المجنه,"[[41.20785, 20.317369]]",POINT,أسماء ثانوية,albaha
المد,"[[41.53332, 19.83382]]",POINT,أسماء ثانوية,albaha
المرات,"[[41.089897, 20.031745]]",POINT,أسماء ثانوية,albaha
المشربة,"[[41.348526, 20.039878]]",POINT,أسماء ثانوية,albaha
المضيلف,"[[40.966902, 19.629114]]",POINT,أسماء ثانوية,albaha
المعدا,"[[41.217463, 20.32239]]",POINT,أسماء ثانوية,albaha
المغلاة,"[[41.086507, 20.033054]]",POINT,أسماء ثانوية,albaha
المقطر,"[[41.409445, 20.06361]]",POINT,أسماء ثانوية,albaha
الملحة,"[[41.366572, 19.951322]]",POINT,أسماء ثانوية,albaha
الناب الحمر,"[[41.334257, 20.042903]]",POINT,أسماء ثانوية,albaha
النحره,"[[41.217785, 20.318871]]",POINT,أسماء ثانوية,albaha
النصلة,"[[41.263425, 20.309773]]",POINT,أسماء ثانوية,albaha
النغيه,"[[41.223428, 19.443161]]",POINT,أسماء ثانوية,albaha
الهبيره,"[[40.893796, 20.07067]]",POINT,أسماء ثانوية,albaha
الواحين,"[[41.195533, 20.27559]]",POINT,أسماء ثانوية,albaha
ام الريحان,"[[41.083567, 20.025394]]",POINT,أسماء ثانوية,albaha
ام العقارب,"[[40.961108, 20.091398]]",POINT,أسماء ثانوية,albaha
الباحة,"[[41.466694, 20.012305]]",POINT,أسماء رئيسة,albaha
احمار,"[[41.325138, 19.967372]]",POINT,أسماء رئيسة,albaha
احمار,"[[41.264348, 19.999988]]",POINT,أسماء رئيسة,albaha
اريمة,"[[41.376936, 20.170684]]",POINT,أسماء رئيسة,albaha
ال جحاف,"[[41.206176, 20.363009]]",POINT,أسماء رئيسة,albaha
ال جميل,"[[41.336446, 19.973509]]",POINT,أسماء رئيسة,albaha
ال حماطان,"[[41.375799, 20.144806]]",POINT,أسماء رئيسة,albaha
ال حمامة,"[[41.23141, 20.137854]]",POINT,أسماء رئيسة,albaha
ال خاجة,"[[41.223407, 20.289474]]",POINT,أسماء رئيسة,albaha
ال دغمان,"[[41.321962, 20.239005]]",POINT,أسماء رئيسة,albaha
ال دغمان,"[[41.403694, 20.20802]]",POINT,أسماء رئيسة,albaha
ال دكنان,"[[41.21506, 19.99074]]",POINT,أسماء رئيسة,albaha
ال رداد,"[[41.287286, 20.024257]]",POINT,أسماء رئيسة,albaha
ال زارع,"[[41.668653, 19.847746]]",POINT,أسماء رئيسة,albaha
ال زاهي,"[[41.419229, 20.0402]]",POINT,أسماء رئيسة,albaha
ال زرعان,"[[41.332498, 20.189137]]",POINT,أسماء رئيسة,albaha
ال زنان,"[[41.355672, 20.216753]]",POINT,أسماء رئيسة,albaha
ال زياد,"[[41.40451, 20.30061]]",POINT,أسماء رئيسة,albaha
ال فارعة,"[[41.227097, 20.299237]]",POINT,أسماء رئيسة,albaha
ال مقرن,"[[41.720388, 19.804165]]",POINT,أسماء رئيسة,albaha
بني هلال,"[[41.637497, 19.826202]]",POINT,أسماء رئيسة,albaha
الأزاهرة,"[[41.73646, 19.823241]]",POINT,أسماء رئيسة,albaha
الأوقع,"[[41.203666, 19.829614]]",POINT,أسماء رئيسة,albaha
الإشيرة,"[[41.326275, 20.005245]]",POINT,أسماء رئيسة,albaha
الاثمد,"[[41.449935, 20.067408]]",POINT,أسماء رئيسة,albaha
الاطاولة,"[[41.35726, 20.272887]]",POINT,أسماء رئيسة,albaha
البارك,"[[41.416783, 20.027111]]",POINT,أسماء رئيسة,albaha
البدلة,"[[41.318915, 19.96866]]",POINT,أسماء رئيسة,albaha
البركة,"[[41.551001, 19.8665]]",POINT,أسماء رئيسة,albaha
البكير,"[[41.608486, 19.8456]]",POINT,أسماء رئيسة,albaha
البنان,"[[41.232269, 19.520516]]",POINT,أسماء رئيسة,albaha
البنيه,"[[41.361101, 19.819722]]",POINT,أسماء رئيسة,albaha
الثراوين,"[[41.299839, 20.291018]]",POINT,أسماء رئيسة,albaha
الثلوث,"[[41.375263, 19.443762]]",POINT,أسماء رئيسة,albaha
الثودة,"[[41.985154, 20.449097]]",POINT,أسماء رئيسة,albaha
الجادية,"[[41.444206, 20.047603]]",POINT,أسماء رئيسة,albaha
الجاوة,"[[41.911962, 20.29325]]",POINT,أسماء رئيسة,albaha
الجبلات,"[[41.250679, 20.704336]]",POINT,أسماء رئيسة,albaha
الجحافين,"[[41.653676, 19.841094]]",POINT,أسماء رئيسة,albaha
الجدية,"[[41.45324, 20.052044]]",POINT,أسماء رئيسة,albaha
الجرة,"[[41.420903, 20.036016]]",POINT,أسماء رئيسة,albaha
الجريرة,"[[41.276622, 20.344963]]",POINT,أسماء رئيسة,albaha
الجرين,"[[40.928085, 20.110023]]",POINT,أسماء رئيسة,albaha
الجفدرة,"[[41.62312, 20.475554]]",POINT,أسماء رئيسة,albaha
الجلحية,"[[41.566451, 19.850492]]",POINT,أسماء رئيسة,albaha
الجنابين,"[[41.705689, 19.958704]]",POINT,أسماء رئيسة,albaha
الجهامة,"[[41.408265, 20.033119]]",POINT,أسماء رئيسة,albaha
الجوفاء,"[[41.037519, 20.01327]]",POINT,أسماء رئيسة,albaha
الحامر,"[[41.571322, 19.94364]]",POINT,أسماء رئيسة,albaha
الحاوي,"[[41.033335, 19.990611]]",POINT,أسماء رئيسة,albaha
