name,lon_lat,coor_type,category,city
منتزه ثم الحبيجه السياحي,"[[41.982944, 19.553905]]",POINT,أسماء ثانوية,aseer
منتزه جوعان,"[[43.342481, 17.906663]]",POINT,أسماء ثانوية,aseer
منتزه غابات حضوه,"[[42.244599, 18.830588]]",POINT,أسماء ثانوية,aseer
منتزه غلصمة,"[[41.943612, 19.561951]]",POINT,أسماء ثانوية,aseer
منتزه وحديقة المجارده,"[[41.894431, 19.119151]]",POINT,أسماء ثانوية,aseer
منتزهات الشرف,"[[42.149777, 18.950193]]",POINT,أسماء ثانوية,aseer
منتزهات شعف ال خريم,"[[42.228141, 18.782458]]",POINT,أسماء ثانوية,aseer
منتزهات ياحن,"[[41.920288, 19.543605]]",POINT,أسماء ثانوية,aseer
غابات ال معلوي,"[[42.227991, 18.659098]]",POINT,أسماء ثانوية,aseer
غابة الجره,"[[42.743897, 18.011677]]",POINT,أسماء ثانوية,aseer
غابة الصرماء,"[[42.758725, 18.008909]]",POINT,أسماء ثانوية,aseer
غابة اليماني,"[[42.787542, 17.97919]]",POINT,أسماء ثانوية,aseer
غابة عين الغلب,"[[42.74143, 17.999597]]",POINT,أسماء ثانوية,aseer
غابة مورك,"[[42.071907, 18.901591]]",POINT,أسماء ثانوية,aseer
آل ختارش,"[[41.908936, 18.463039]]",POINT,أسماء ثانوية,aseer
آل شلوان,"[[41.659448, 18.830287]]",POINT,أسماء ثانوية,aseer
ابرق ابو عرينة,"[[43.725715, 20.714464]]",POINT,أسماء ثانوية,aseer
ابرق الغراء,"[[43.004394, 20.524864]]",POINT,أسماء ثانوية,aseer
ابرق الملح,"[[43.128762, 20.255206]]",POINT,أسماء ثانوية,aseer
ابرق النقيب,"[[43.485367, 20.688136]]",POINT,أسماء ثانوية,aseer
ابرق بلية,"[[43.656363, 20.017819]]",POINT,أسماء ثانوية,aseer
ابرق عياش,"[[43.184187, 20.781841]]",POINT,أسماء ثانوية,aseer
ابرق منيعه,"[[43.60568, 20.340307]]",POINT,أسماء ثانوية,aseer
ابو شوك,"[[42.117827, 19.375527]]",POINT,أسماء ثانوية,aseer
ابو طلحان,"[[43.273902, 19.471679]]",POINT,أسماء ثانوية,aseer
اشعل كتيفان,"[[43.841436, 20.482936]]",POINT,أسماء ثانوية,aseer
اشقر الملزم,"[[43.327696, 20.568702]]",POINT,أسماء ثانوية,aseer
اقرن الصخرة,"[[43.468416, 20.202463]]",POINT,أسماء ثانوية,aseer
ال جبران,"[[41.6711, 18.824708]]",POINT,أسماء ثانوية,aseer
ال صعبان,"[[41.93784, 18.877366]]",POINT,أسماء ثانوية,aseer
ال طرف,"[[41.985991, 18.982615]]",POINT,أسماء ثانوية,aseer
ال غال,"[[42.409716, 18.408065]]",POINT,أسماء ثانوية,aseer
ال مسهر,"[[41.974168, 18.525267]]",POINT,أسماء ثانوية,aseer
الاصيم,"[[43.260834, 19.500561]]",POINT,أسماء ثانوية,aseer
الامرح - حلة ال طلحه,"[[41.990283, 19.352503]]",POINT,أسماء ثانوية,aseer
الباطنه,"[[42.136667, 18.443599]]",POINT,أسماء ثانوية,aseer
البحريه,"[[42.044871, 18.783724]]",POINT,أسماء ثانوية,aseer
البرقاء,"[[41.89707, 19.458182]]",POINT,أسماء ثانوية,aseer
البزخاء,"[[42.160249, 18.70903]]",POINT,أسماء ثانوية,aseer
البزخاء,"[[42.160249, 18.70903]]",POINT,أسماء ثانوية,aseer
البيح,"[[42.26876, 18.197887]]",POINT,أسماء ثانوية,aseer
البيض,"[[43.665075, 19.514894]]",POINT,أسماء ثانوية,aseer
التل الرمل,"[[42.803163, 18.661737]]",POINT,أسماء ثانوية,aseer
الثعالب,"[[43.301926, 19.553304]]",POINT,أسماء ثانوية,aseer
الجاره,"[[42.122097, 18.827176]]",POINT,أسماء ثانوية,aseer
الجافورة,"[[43.095803, 20.675561]]",POINT,أسماء ثانوية,aseer
الجر الصغير,"[[42.724285, 18.054142]]",POINT,أسماء ثانوية,aseer
الجرد,"[[41.75751, 18.983066]]",POINT,أسماء ثانوية,aseer
الجلة,"[[41.66389, 19.0925]]",POINT,أسماء ثانوية,aseer
الجمعه,"[[42.559383, 18.336697]]",POINT,أسماء ثانوية,aseer
الحبله,"[[42.045836, 19.302785]]",POINT,أسماء ثانوية,aseer
الحداب,"[[41.615825, 19.114451]]",POINT,أسماء ثانوية,aseer
الحريرية,"[[42.27494, 18.186257]]",POINT,أسماء ثانوية,aseer
الحسرين,"[[41.742768, 19.07999]]",POINT,أسماء ثانوية,aseer
الحصحص,"[[43.994923, 19.747753]]",POINT,أسماء ثانوية,aseer
الحقو,"[[42.116883, 18.616633]]",POINT,أسماء ثانوية,aseer
الحقو,"[[42.090812, 18.50029]]",POINT,أسماء ثانوية,aseer
الحلالة,"[[42.018607, 19.276392]]",POINT,أسماء ثانوية,aseer
الحمره,"[[42.20192, 18.766515]]",POINT,أسماء ثانوية,aseer
الحناء,"[[41.712492, 19.127777]]",POINT,أسماء ثانوية,aseer
الحنكه,"[[42.105961, 19.019759]]",POINT,أسماء ثانوية,aseer
الخاوي,"[[42.109995, 18.490269]]",POINT,أسماء ثانوية,aseer
الخزان,"[[41.907499, 18.49278]]",POINT,أسماء ثانوية,aseer
الخشعه,"[[42.072036, 19.160972]]",POINT,أسماء ثانوية,aseer
الخشن,"[[43.39973, 19.509165]]",POINT,أسماء ثانوية,aseer
الخضه,"[[42.082036, 19.003558]]",POINT,أسماء ثانوية,aseer
الخل,"[[41.83701, 19.289889]]",POINT,أسماء ثانوية,aseer
الدارة,"[[42.102721, 20.513213]]",POINT,أسماء ثانوية,aseer
الدبر,"[[41.674447, 19.170005]]",POINT,أسماء ثانوية,aseer
الدجله,"[[43.185282, 18.301377]]",POINT,أسماء ثانوية,aseer
الدف,"[[42.085619, 18.522005]]",POINT,أسماء ثانوية,aseer
الدويرة,"[[43.41327, 19.835215]]",POINT,أسماء ثانوية,aseer
الدويمة,"[[41.58778, 18.959441]]",POINT,أسماء ثانوية,aseer
الرديغه,"[[42.00335, 18.530009]]",POINT,أسماء ثانوية,aseer
الرهوه,"[[41.967516, 18.899789]]",POINT,أسماء ثانوية,aseer
الريش,"[[42.099288, 18.629444]]",POINT,أسماء ثانوية,aseer
الزراعه,"[[43.206911, 18.566465]]",POINT,أسماء ثانوية,aseer
الزهيره,"[[43.203306, 18.626204]]",POINT,أسماء ثانوية,aseer
السده,"[[42.0715, 18.90893]]",POINT,أسماء ثانوية,aseer
السعيده,"[[43.346064, 19.442389]]",POINT,أسماء ثانوية,aseer
السليم,"[[41.660264, 18.806105]]",POINT,أسماء ثانوية,aseer
الشارة,"[[41.574433, 19.131381]]",POINT,أسماء ثانوية,aseer
الشدنه,"[[42.010431, 19.212685]]",POINT,أسماء ثانوية,aseer
الشدينه,"[[42.207177, 18.766279]]",POINT,أسماء ثانوية,aseer
الشطبه - غدير ابن غرم,"[[42.120273, 19.318063]]",POINT,أسماء ثانوية,aseer
الشعراء,"[[42.066393, 19.18376]]",POINT,أسماء ثانوية,aseer
الشفاء,"[[42.092872, 18.805675]]",POINT,أسماء ثانوية,aseer
الشيق,"[[43.015165, 18.647404]]",POINT,أسماء ثانوية,aseer
الصدر,"[[42.091777, 18.997056]]",POINT,أسماء ثانوية,aseer
الصدر,"[[42.252216, 18.852217]]",POINT,أسماء ثانوية,aseer
الصدره,"[[42.114286, 18.834257]]",POINT,أسماء ثانوية,aseer
الصره,"[[42.035601, 19.294181]]",POINT,أسماء ثانوية,aseer
الصفار,"[[41.568897, 19.009995]]",POINT,أسماء ثانوية,aseer
الصفيح,"[[43.697326, 19.874504]]",POINT,أسماء ثانوية,aseer
الصلبه,"[[42.057874, 18.704159]]",POINT,أسماء ثانوية,aseer
الضرس,"[[42.07871, 18.545244]]",POINT,أسماء ثانوية,aseer
الضهره,"[[42.02528, 18.525288]]",POINT,أسماء ثانوية,aseer
الطانف,"[[41.868617, 19.309716]]",POINT,أسماء ثانوية,aseer
الطلحه,"[[42.388237, 18.385684]]",POINT,أسماء ثانوية,aseer
الطوال,"[[42.100682, 18.64543]]",POINT,أسماء ثانوية,aseer
الطوي,"[[42.187328, 18.765035]]",POINT,أسماء ثانوية,aseer
الظهره,"[[41.944406, 19.308944]]",POINT,أسماء ثانوية,aseer
الظهره,"[[42.039742, 19.303536]]",POINT,أسماء ثانوية,aseer
العذرة,"[[41.687772, 19.180005]]",POINT,أسماء ثانوية,aseer
العرق,"[[42.755935, 18.000026]]",POINT,أسماء ثانوية,aseer
العشة,"[[41.702213, 19.166679]]",POINT,أسماء ثانوية,aseer
العفر,"[[42.300346, 18.235631]]",POINT,أسماء ثانوية,aseer
العقد,"[[41.633613, 19.117498]]",POINT,أسماء ثانوية,aseer
العقل,"[[42.07283, 18.098474]]",POINT,أسماء ثانوية,aseer
العكس,"[[42.097871, 19.010167]]",POINT,أسماء ثانوية,aseer
العنق,"[[41.893015, 19.461315]]",POINT,أسماء ثانوية,aseer
العنقاء,"[[41.977022, 18.852797]]",POINT,أسماء ثانوية,aseer
العواجر,"[[41.685562, 19.184446]]",POINT,أسماء ثانوية,aseer
الغارب,"[[42.073946, 18.991971]]",POINT,أسماء ثانوية,aseer
الغوار,"[[43.934047, 19.58313]]",POINT,أسماء ثانوية,aseer
الغيران,"[[43.376126, 19.539464]]",POINT,أسماء ثانوية,aseer
الفجرة,"[[41.74721, 19.042504]]",POINT,أسماء ثانوية,aseer
الفجي,"[[41.749721, 19.041109]]",POINT,أسماء ثانوية,aseer
الفرح,"[[41.71541, 19.843411]]",POINT,أسماء ثانوية,aseer
الفلاح,"[[42.112978, 19.375377]]",POINT,أسماء ثانوية,aseer
القاريه,"[[41.99863, 19.15108]]",POINT,أسماء ثانوية,aseer
القاعه,"[[43.080397, 18.606806]]",POINT,أسماء ثانوية,aseer
القاعه,"[[43.534441, 17.651725]]",POINT,أسماء ثانوية,aseer
القرا,"[[44.26089, 19.495819]]",POINT,أسماء ثانوية,aseer
القرن,"[[41.684725, 19.117498]]",POINT,أسماء ثانوية,aseer
القطبة,"[[41.738605, 19.08278]]",POINT,أسماء ثانوية,aseer
القطن,"[[41.68612, 19.135566]]",POINT,أسماء ثانوية,aseer
القلفا,"[[42.343261, 18.384418]]",POINT,أسماء ثانوية,aseer
القوز,"[[42.036374, 19.298322]]",POINT,أسماء ثانوية,aseer
الكرب,"[[43.180261, 18.307493]]",POINT,أسماء ثانوية,aseer
المبرة,"[[41.710002, 19.103615]]",POINT,أسماء ثانوية,aseer
المتن,"[[42.659376, 19.852831]]",POINT,أسماء ثانوية,aseer
المجرع,"[[41.750557, 18.265564]]",POINT,أسماء ثانوية,aseer
المجممه,"[[42.132483, 18.462782]]",POINT,أسماء ثانوية,aseer
المحلب,"[[42.205417, 18.765249]]",POINT,أسماء ثانوية,aseer
المدان,"[[42.076027, 18.805912]]",POINT,أسماء ثانوية,aseer
المراقب,"[[43.90995, 20.169182]]",POINT,أسماء ثانوية,aseer
المريبخ,"[[44.288678, 19.548669]]",POINT,أسماء ثانوية,aseer
المستويه,"[[43.521931, 19.338319]]",POINT,أسماء ثانوية,aseer
المشباح,"[[41.969404, 18.904917]]",POINT,أسماء ثانوية,aseer
المصافح,"[[41.571665, 19.118056]]",POINT,أسماء ثانوية,aseer
المطل,"[[43.49232, 17.666059]]",POINT,أسماء ثانوية,aseer
المعطان,"[[42.08504, 19.017398]]",POINT,أسماء ثانوية,aseer
المغرقات,"[[42.06989, 19.180841]]",POINT,أسماء ثانوية,aseer
المقدة,"[[41.579711, 18.88833]]",POINT,أسماء ثانوية,aseer
المقعي,"[[41.578209, 18.869512]]",POINT,أسماء ثانوية,aseer
الملساء,"[[43.382499, 19.536395]]",POINT,أسماء ثانوية,aseer
المليساء,"[[42.093837, 18.811126]]",POINT,أسماء ثانوية,aseer
المهيد,"[[42.195997, 18.766644]]",POINT,أسماء ثانوية,aseer
الميثب,"[[43.004994, 19.890018]]",POINT,أسماء ثانوية,aseer
الميد اليماني,"[[42.116389, 19.27695]]",POINT,أسماء ثانوية,aseer
الميمنه,"[[42.108428, 18.547282]]",POINT,أسماء ثانوية,aseer
النصبه,"[[42.034035, 19.306283]]",POINT,أسماء ثانوية,aseer
النقبة,"[[41.599431, 19.128892]]",POINT,أسماء ثانوية,aseer
الهدود,"[[43.57667, 19.218049]]",POINT,أسماء ثانوية,aseer
الهضبة,"[[42.768638, 19.791591]]",POINT,أسماء ثانوية,aseer
الوشعه,"[[41.941638, 19.303815]]",POINT,أسماء ثانوية,aseer
الوهدة,"[[42.306848, 18.236554]]",POINT,أسماء ثانوية,aseer
ام بيض,"[[42.101305, 18.828034]]",POINT,أسماء ثانوية,aseer
ام عشه,"[[42.142224, 18.738835]]",POINT,أسماء ثانوية,aseer
ام قهره,"[[41.901169, 19.461036]]",POINT,أسماء ثانوية,aseer
ام كداد,"[[44.400773, 19.50717]]",POINT,أسماء ثانوية,aseer
ام مشط,"[[41.891148, 19.463482]]",POINT,أسماء ثانوية,aseer
بادي,"[[41.964383, 18.905969]]",POINT,أسماء ثانوية,aseer
بارق,"[[41.94726, 18.936481]]",POINT,أسماء ثانوية,aseer
باطن ابو سنام,"[[43.486998, 20.575569]]",POINT,أسماء ثانوية,aseer
بحيرة بيش,"[[42.661715, 17.68743]]",POINT,أسماء ثانوية,aseer
بداوة ابو شنب,"[[43.195839, 18.302751]]",POINT,أسماء ثانوية,aseer
برقاء الدسمات,"[[43.849418, 20.575225]]",POINT,أسماء ثانوية,aseer
برقاء جبيان,"[[43.567357, 20.467958]]",POINT,أسماء ثانوية,aseer
بس,"[[41.713607, 19.113894]]",POINT,أسماء ثانوية,aseer
بطحا,"[[41.665006, 19.114172]]",POINT,أسماء ثانوية,aseer
بني حنانة,"[[44.436865, 19.592679]]",POINT,أسماء ثانوية,aseer
بني قيس,"[[42.003608, 19.305832]]",POINT,أسماء ثانوية,aseer
بني قيس,"[[42.003608, 19.305832]]",POINT,أسماء ثانوية,aseer
تل حدبة الشعراء,"[[42.008886, 19.273882]]",POINT,أسماء ثانوية,aseer
تمباشه,"[[42.003822, 18.853419]]",POINT,أسماء ثانوية,aseer
تهامة ال معلوي,"[[42.217219, 18.655171]]",POINT,أسماء ثانوية,aseer
ثربان,"[[41.693072, 19.127777]]",POINT,أسماء ثانوية,aseer
ثلوث المنظر,"[[42.048283, 18.788681]]",POINT,أسماء ثانوية,aseer
جافا السعيده,"[[43.346922, 19.459147]]",POINT,أسماء ثانوية,aseer
جافعه,"[[41.969147, 19.476399]]",POINT,أسماء ثانوية,aseer
جبلي الصومعتين,"[[42.764711, 17.993374]]",POINT,أسماء ثانوية,aseer
جبوله,"[[42.37695, 18.779519]]",POINT,أسماء ثانوية,aseer
جبيل عرفجان,"[[42.731409, 19.931452]]",POINT,أسماء ثانوية,aseer
جرين ام كبب,"[[42.30938, 18.197114]]",POINT,أسماء ثانوية,aseer
جمعه,"[[41.978459, 18.93852]]",POINT,أسماء ثانوية,aseer
حبل بريق,"[[41.926854, 20.083737]]",POINT,أسماء ثانوية,aseer
حبيه,"[[43.518884, 20.26499]]",POINT,أسماء ثانوية,aseer
حدق,"[[42.018628, 18.858976]]",POINT,أسماء ثانوية,aseer
حذان,"[[42.102399, 18.822541]]",POINT,أسماء ثانوية,aseer
حزم مفتاح,"[[43.452473, 19.346237]]",POINT,أسماء ثانوية,aseer
حشن السن,"[[42.204666, 18.766065]]",POINT,أسماء ثانوية,aseer
حصن ال سامر,"[[41.977794, 19.148934]]",POINT,أسماء ثانوية,aseer
حصن خلييده,"[[41.979811, 19.481614]]",POINT,أسماء ثانوية,aseer
حضن عين مريع,"[[43.216803, 18.102658]]",POINT,أسماء ثانوية,aseer
حفر الحشرج,"[[43.33055, 19.39971]]",POINT,أسماء ثانوية,aseer
حلة ال طلحه,"[[42.009723, 19.361107]]",POINT,أسماء ثانوية,aseer
حلة ال مروح,"[[42.116024, 18.92247]]",POINT,أسماء ثانوية,aseer
حلة الاسده,"[[42.028863, 19.278388]]",POINT,أسماء ثانوية,aseer
حلة الطوف,"[[42.009251, 19.353554]]",POINT,أسماء ثانوية,aseer
حلة المنقطع,"[[42.003887, 19.328899]]",POINT,أسماء ثانوية,aseer
حلة ملحان,"[[42.133341, 19.407778]]",POINT,أسماء ثانوية,aseer
حمة الطنط,"[[43.128912, 20.567544]]",POINT,أسماء ثانوية,aseer
حمى الحميد,"[[41.721439, 19.872122]]",POINT,أسماء ثانوية,aseer
حيد عبس,"[[41.964169, 19.29903]]",POINT,أسماء ثانوية,aseer
خاطب الابقع,"[[43.242874, 20.707469]]",POINT,أسماء ثانوية,aseer
خبة آل حجري,"[[41.832161, 19.05158]]",POINT,أسماء ثانوية,aseer
خبرة,"[[41.699445, 19.065549]]",POINT,أسماء ثانوية,aseer
خرار عاصم,"[[42.092013, 19.020102]]",POINT,أسماء ثانوية,aseer
خرواع,"[[41.681936, 19.132497]]",POINT,أسماء ثانوية,aseer
خريب,"[[41.707213, 19.094431]]",POINT,أسماء ثانوية,aseer
خزام العايل,"[[43.573601, 17.775042]]",POINT,أسماء ثانوية,aseer
خشم عيران,"[[42.114201, 19.363167]]",POINT,أسماء ثانوية,aseer
خشيم الذيب,"[[42.861464, 20.236838]]",POINT,أسماء ثانوية,aseer
خندق النقب,"[[43.056021, 18.067939]]",POINT,أسماء ثانوية,aseer
ذا لثب,"[[42.126668, 19.380398]]",POINT,أسماء ثانوية,aseer
ذات خلفين -حلة ال طلحه,"[[42.009723, 19.361107]]",POINT,أسماء ثانوية,aseer
ربيعه,"[[41.774182, 18.880413]]",POINT,أسماء ثانوية,aseer
ردة رعله,"[[42.090919, 19.01639]]",POINT,أسماء ثانوية,aseer
رس النظيم,"[[42.978559, 19.971256]]",POINT,أسماء ثانوية,aseer
رقبة وقن,"[[42.126668, 19.276114]]",POINT,أسماء ثانوية,aseer
رهوة نزلة,"[[41.913378, 18.499131]]",POINT,أسماء ثانوية,aseer
روضة ابن نوره,"[[43.392949, 18.4342]]",POINT,أسماء ثانوية,aseer
ريمه,"[[42.114544, 19.366772]]",POINT,أسماء ثانوية,aseer
سبجه والحريقه,"[[42.037554, 18.526747]]",POINT,أسماء ثانوية,aseer
سر ابو نعمي,"[[43.69164, 19.622762]]",POINT,أسماء ثانوية,aseer
سر ابو نعمي,"[[43.709214, 19.572058]]",POINT,أسماء ثانوية,aseer
سر بعل,"[[43.663659, 19.978058]]",POINT,أسماء ثانوية,aseer
سر بغل,"[[43.590059, 19.645293]]",POINT,أسماء ثانوية,aseer
سقائف بن شبلان,"[[42.107227, 19.089174]]",POINT,أسماء ثانوية,aseer
سليه,"[[42.04987, 18.749435]]",POINT,أسماء ثانوية,aseer
سمراء آل عاصم,"[[42.114716, 18.415489]]",POINT,أسماء ثانوية,aseer
سنبلة,"[[43.471956, 18.890991]]",POINT,أسماء ثانوية,aseer
سوق الاثنين,"[[42.058067, 18.913264]]",POINT,أسماء ثانوية,aseer
سوق العجمه,"[[41.877136, 19.012034]]",POINT,أسماء ثانوية,aseer
شجن,"[[41.65138, 19.188888]]",POINT,أسماء ثانوية,aseer
شرمه,"[[42.244899, 18.886721]]",POINT,أسماء ثانوية,aseer
شطان كفاء,"[[42.033176, 19.300683]]",POINT,أسماء ثانوية,aseer
شعبة الغباريه,"[[41.916318, 19.532704]]",POINT,أسماء ثانوية,aseer
شعف ال شفلوت,"[[42.175291, 19.060829]]",POINT,أسماء ثانوية,aseer
شعف ال عينين,"[[42.230887, 18.791707]]",POINT,أسماء ثانوية,aseer
شعف الوليد,"[[42.104974, 19.158311]]",POINT,أسماء ثانوية,aseer
شغف آل سودة,"[[42.117119, 19.002228]]",POINT,أسماء ثانوية,aseer
شفا المرار,"[[42.300475, 18.205011]]",POINT,أسماء ثانوية,aseer
شفاء الرصد,"[[42.098236, 19.005189]]",POINT,أسماء ثانوية,aseer
شقة الحفية,"[[43.975418, 20.58059]]",POINT,أسماء ثانوية,aseer
شقران الشقيب,"[[43.672736, 20.91917]]",POINT,أسماء ثانوية,aseer
شلال القمع,"[[42.257474, 18.155594]]",POINT,أسماء ثانوية,aseer
شلال ضحية,"[[42.26728, 18.161645]]",POINT,أسماء ثانوية,aseer
صحن تمنية,"[[42.793701, 18.031933]]",POINT,أسماء ثانوية,aseer
صحن رافة,"[[41.99805, 20.527804]]",POINT,أسماء ثانوية,aseer
صخرة رعله,"[[42.095017, 19.016283]]",POINT,أسماء ثانوية,aseer
صخور المشمرخ,"[[42.088451, 19.008837]]",POINT,أسماء ثانوية,aseer
صفا الاديم,"[[41.977687, 19.157453]]",POINT,أسماء ثانوية,aseer
صفا الساده,"[[42.082894, 19.019308]]",POINT,أسماء ثانوية,aseer
صفا الشيوخ,"[[43.194723, 19.47582]]",POINT,أسماء ثانوية,aseer
صفا بلحارث,"[[41.976314, 19.157581]]",POINT,أسماء ثانوية,aseer
صفاة الشرثاء,"[[42.061243, 19.302893]]",POINT,أسماء ثانوية,aseer
صفاح الشط,"[[42.048605, 19.301949]]",POINT,أسماء ثانوية,aseer
صمد هرجاب,"[[42.861979, 19.544721]]",POINT,أسماء ثانوية,aseer
صومعة الجمع,"[[42.118964, 19.375505]]",POINT,أسماء ثانوية,aseer
ضليع الحفاة,"[[43.107648, 17.973547]]",POINT,أسماء ثانوية,aseer
ضليعة الحمراء,"[[42.100232, 19.008279]]",POINT,أسماء ثانوية,aseer
طبب,"[[42.37504, 18.373067]]",POINT,أسماء ثانوية,aseer
طوف قليل,"[[42.038691, 19.300361]]",POINT,أسماء ثانوية,aseer
ظهر,"[[42.36414, 20.148389]]",POINT,أسماء ثانوية,aseer
ظهر الصاب,"[[41.985476, 19.299331]]",POINT,أسماء ثانوية,aseer
عبل الجباوة,"[[43.687756, 20.576513]]",POINT,أسماء ثانوية,aseer
عبل بني هيوج,"[[42.220459, 20.222504]]",POINT,أسماء ثانوية,aseer
عد المريصيص,"[[42.233892, 20.36597]]",POINT,أسماء ثانوية,aseer
عد عقدان,"[[43.097198, 18.35912]]",POINT,أسماء ثانوية,aseer
عرف,"[[41.580548, 19.123614]]",POINT,أسماء ثانوية,aseer
عظوظة,"[[42.014487, 18.856273]]",POINT,أسماء ثانوية,aseer
عودان,"[[42.271399, 18.159113]]",POINT,أسماء ثانوية,aseer
غر الاصرة,"[[43.376663, 20.129914]]",POINT,أسماء ثانوية,aseer
غر الحمدة,"[[43.896153, 19.969089]]",POINT,أسماء ثانوية,aseer
غضاريق,"[[42.004788, 18.86359]]",POINT,أسماء ثانوية,aseer
غيران البب,"[[43.196118, 19.460006]]",POINT,أسماء ثانوية,aseer
قلعة غران,"[[42.12832, 18.980663]]",POINT,أسماء ثانوية,aseer
قمع الحامضه,"[[42.121389, 18.659034]]",POINT,أسماء ثانوية,aseer
قوب,"[[41.53332, 19.061108]]",POINT,أسماء ثانوية,aseer
كميت,"[[42.006955, 18.847153]]",POINT,أسماء ثانوية,aseer
لاعس الأغبر,"[[43.584073, 19.292851]]",POINT,أسماء ثانوية,aseer
مثلة,"[[41.634729, 19.167216]]",POINT,أسماء ثانوية,aseer
مجرنه,"[[42.000711, 18.859363]]",POINT,أسماء ثانوية,aseer
محلة رهو السلام,"[[42.085319, 19.063017]]",POINT,أسماء ثانوية,aseer
محمية الجله,"[[41.980906, 19.157152]]",POINT,أسماء ثانوية,aseer
مذبح,"[[41.705561, 19.105825]]",POINT,أسماء ثانوية,aseer
مركز حرس حدود الجربه,"[[43.412518, 17.687237]]",POINT,أسماء ثانوية,aseer
مروة,"[[41.709445, 19.094174]]",POINT,أسماء ثانوية,aseer
مسعى,"[[42.0035, 18.857732]]",POINT,أسماء ثانوية,aseer
مطراف,"[[42.126818, 18.669183]]",POINT,أسماء ثانوية,aseer
مطل رهوة العرقوب,"[[41.960456, 19.241652]]",POINT,أسماء ثانوية,aseer
مطل شعف آل خريم - الحروس,"[[42.220201, 18.777781]]",POINT,أسماء ثانوية,aseer
معقر,"[[41.712492, 19.128335]]",POINT,أسماء ثانوية,aseer
مغلوف,"[[41.706934, 19.038062]]",POINT,أسماء ثانوية,aseer
ملاوي العتمة,"[[42.209816, 18.772051]]",POINT,أسماء ثانوية,aseer
ملقاف,"[[42.011054, 19.218049]]",POINT,أسماء ثانوية,aseer
منطقة الاربوعه,"[[42.141345, 18.932533]]",POINT,أسماء ثانوية,aseer
منطقة الغبيب,"[[42.114823, 19.203694]]",POINT,أسماء ثانوية,aseer
منطقة المحيى,"[[42.110746, 19.021368]]",POINT,أسماء ثانوية,aseer
منطقة يدر,"[[42.241402, 19.263024]]",POINT,أسماء ثانوية,aseer
منفه,"[[41.670907, 18.804989]]",POINT,أسماء ثانوية,aseer
نضيد اللوا,"[[41.655564, 19.102778]]",POINT,أسماء ثانوية,aseer
نعص,"[[42.073324, 18.781729]]",POINT,أسماء ثانوية,aseer
هده,"[[42.092743, 18.815782]]",POINT,أسماء ثانوية,aseer
واحة المدانه,"[[41.908615, 19.522491]]",POINT,أسماء ثانوية,aseer
ودن,"[[41.855292, 19.276156]]",POINT,أسماء ثانوية,aseer
صلة كنى,"[[42.720217, 18.821528]]",POINT,أسماء ثانوية,aseer
المقصره,"[[42.623468, 18.865849]]",POINT,أسماء ثانوية,aseer
الحزم,"[[42.692218, 18.939327]]",POINT,أسماء ثانوية,aseer
قرية غالب,"[[41.404617, 18.643284]]",POINT,أسماء رئيسة,aseer
السعيدة,"[[41.414702, 18.590112]]",POINT,أسماء رئيسة,aseer
عمق,"[[41.464806, 18.450165]]",POINT,أسماء رئيسة,aseer
دبساء,"[[41.524372, 18.29258]]",POINT,أسماء رئيسة,aseer
البرك,"[[41.54068, 18.21825]]",POINT,أسماء رئيسة,aseer
منغل,"[[41.645136, 18.353691]]",POINT,أسماء رئيسة,aseer
الشرفات,"[[41.668224, 18.368969]]",POINT,أسماء رئيسة,aseer
العمقة,"[[41.691356, 18.434436]]",POINT,أسماء رئيسة,aseer
بني هلال,"[[41.683846, 18.485699]]",POINT,أسماء رئيسة,aseer
الأجرع,"[[41.678696, 18.507671]]",POINT,أسماء رئيسة,aseer
الفيض,"[[41.728477, 18.363991]]",POINT,أسماء رئيسة,aseer
قرية ال خضاري,"[[42.174432, 19.002013]]",POINT,أسماء رئيسة,aseer
قرية ال مشاري,"[[42.17278, 19.008601]]",POINT,أسماء رئيسة,aseer
قرية ال ياس,"[[41.99554, 19.15417]]",POINT,أسماء رئيسة,aseer
قرية العديف,"[[42.12847, 18.899596]]",POINT,أسماء رئيسة,aseer
القاصله,"[[42.147911, 18.947382]]",POINT,أسماء رئيسة,aseer
قرية شعيبه,"[[42.178896, 19.016368]]",POINT,أسماء رئيسة,aseer
سراة عبيدة,"[[43.13904, 18.084784]]",POINT,أسماء رئيسة,aseer
ابها,"[[42.50355, 18.216791]]",POINT,أسماء رئيسة,aseer
المجاردة,"[[41.920996, 19.131811]]",POINT,أسماء رئيسة,aseer
النماص,"[[42.129972, 19.12606]]",POINT,أسماء رئيسة,aseer
بيشة,"[[42.609787, 20.017948]]",POINT,أسماء رئيسة,aseer
رجال المع,"[[42.277172, 18.24033]]",POINT,أسماء رئيسة,aseer
محايل عسير,"[[42.049999, 18.546295]]",POINT,أسماء رئيسة,aseer
طريب,"[[43.202748, 18.560972]]",POINT,أسماء رئيسة,aseer
خميس مشيط,"[[42.737138, 18.30745]]",POINT,أسماء رئيسة,aseer
ظهران الجنوب,"[[43.507705, 17.66932]]",POINT,أسماء رئيسة,aseer
تثليث,"[[43.521609, 19.540064]]",POINT,أسماء رئيسة,aseer
تنومه,"[[42.170935, 18.950944]]",POINT,أسماء رئيسة,aseer
أحد رفيدة,"[[42.845199, 18.213208]]",POINT,أسماء رئيسة,aseer
