name,lat,lon
شعيب أبو حسك,24.741812,46.351919
شعيب أبو حمض,24.91564,46.568985
شعيب أبو ركبة,25.799375,46.229374
شعيب أبو ركبة,25.784976,46.296237
شعيب أبو ركبة,24.379156,46.228409
شعيب أبو سدرة,26.5923,45.169945
شعيب أبو سدير,26.793251,45.130699
شعيب أبو سدير الجنوبي,24.022679,45.335662
شعيب أبو صفي,26.58818,45.199277
شعيب أبو طليح الجنوبي,26.604617,45.196638
شعيب أبو طليح الشمالي,26.844449,45.010085
شعيب أبو طليح الغربي,24.748979,46.357562
شعيب أبو طي,26.505461,45.32532
شعيب أبو فقارة,24.986172,45.916157
شعيب أبو كتادة,26.64191,45.163872
شعيب أبو ملقاط,24.05654,45.310364
شعيب أبو وثيل,24.064221,45.317402
شعيب أبو وثيل,24.424517,46.554694
شعيب أديرع الشرقي,24.426985,46.523924
شعيب أديرع الغربي,25.192273,45.665338
شعيب أعيوج,24.320683,46.23667
شعيب أم أثلة,24.741361,46.399083
شعيب أم أثلة,25.41569,46.753607
شعيب أم أثلة,24.790628,46.420927
شعيب أم الانعاش,23.559623,46.879714
شعيب أم الحيران,24.838865,46.385629
شعيب أم الخران,24.948642,43.723547
شعيب أم الديبان,26.46482,44.863529
شعيب أم الذيابة,26.436861,44.812911
شعيب أم الذيابة,24.97334,46.578856
شعيب أم الشيح,24.282682,46.096573
شعيب أم الهلايم,24.018946,45.311759
شعيب أم جنيب,23.623974,46.995199
شعيب أم حفور,23.593075,46.129682
شعيب أم خشيبة,24.775329,46.388183
شعيب أم سديرة,24.204104,46.611664
شعيب أم سليم,23.55325,46.155903
شعيب أم شبرم,23.498125,46.10846
شعيب أم شبرم,25.975542,45.637979
شعيب أم عاذر,23.633029,46.624732
شعيب أم قعاسة,25.765064,46.063571
شعيب أم قليدة,24.846032,46.277525
شعيب أم كثير,26.698387,45.34579
شعيب أم كلوح,26.691456,45.271397
شعيب أم كلوح,23.972104,45.353429
شعيب أم محاقين,23.504434,46.127687
شعيب أم مريخ الجنوبية,26.463339,45.321586
شعيب أم ملح,26.932597,45.03195
شعيب أم هشيم,21.953967,45.938387
شعيب ابا الجرفان,24.980249,46.213109
شعيب ابا الحسك,25.6761,46.517572
شعيب ابا الحسك,25.484355,46.676273
شعيب ابا الحليان,25.338249,45.781295
شعيب ابا الخرفان,25.427685,45.845776
شعيب ابا الخرفان,25.893359,46.385694
شعيب ابا الذيابة,24.9698,46.649537
شعيب ابا السباع,24.9698,46.649537
شعيب ابا السباع,25.279541,45.969715
شعيب ابا السدر,24.933858,46.055846
شعيب ابا الغبطان,24.428809,47.181044
شعيب ابا الغيران,24.983318,45.640168
شعيب ابا الفراوح,24.981751,45.637572
شعيب ابا الفراوح,23.644488,43.014843
شعيب ابا الفوس,24.623172,46.130991
شعيب ابا القراوة,24.938021,46.049409
شعيب ابا القصوم,25.555208,45.826464
شعيب ابا القلات,23.477461,46.857784
شعيب ابا اللصف,22.278213,47.027493
شعيب ابا المرعان,23.566103,46.451118
شعيب ابا المناصي,24.885085,46.216135
شعيب ابا الهبايا,24.906006,46.157298
شعيب ابا الهشم,24.41102,46.717708
شعيب ابا الهشم,24.292724,46.672196
شعيب ابا الهشم الأوسط,24.307723,46.702967
شعيب ابا الهشم الأوسط,24.104197,46.804655
شعيب ابا الهشم\\,24.131126,42.511017
شعيب ابرق الدهماء,23.555074,42.797005
شعيب ابو السباع,25.100648,46.112945
شعيب ابو السدر,24.766102,46.261454
شعيب ابو برقاء,23.6906,46.260016
شعيب ابو برقة,25.230274,43.737946
شعيب ابو بطحاء,25.179119,43.839934
شعيب ابو بطحاء,23.750725,44.231472
شعيب ابو بعيثران,23.894577,44.52806
شعيب ابو بعيثران,24.69379,42.376521
شعيب ابو ثمام,24.497581,44.160833
شعيب ابو ثمام,24.590192,44.08232
شعيب ابو ثمام,24.631584,44.034984
شعيب ابو ثمام,25.212035,47.08442
شعيب ابو ثمام,25.194933,47.06867
شعيب ابو ثمام,25.251732,47.128859
شعيب ابو ثمام,22.389107,46.862011
شعيب ابو جدر,23.947363,45.422823
شعيب ابو جراذية,22.533302,47.827606
شعيب ابو جرف,23.458214,44.470081
شعيب ابو جص,23.707273,46.287482
شعيب ابو جميد,24.226699,46.844587
شعيب ابو حارس,25.402365,46.071746
شعيب ابو حجيرة,24.631026,45.477347
شعيب ابو حرمل,25.920675,45.960081
شعيب ابو حرملة,25.900698,46.043208
شعيب ابو حرملة,26.17218,45.024633
شعيب ابو حريقة,26.181428,45.041413
شعيب ابو حريقة,24.017444,44.092834
شعيب ابو حسك,25.828192,45.793033
شعيب ابو حصاة,23.569729,46.533344
شعيب ابو حماط,23.962984,45.455117
شعيب ابو حميض,23.953843,45.544231
شعيب ابو حميض,24.973984,43.911431
شعيب ابو خريط,24.831355,43.650291
شعيب ابو خريط,24.859014,43.707047
شعيب ابو خريط,24.921348,43.7938
شعيب ابو خريط,24.940231,43.7994
شعيب ابو خريط,25.756481,45.836184
شعيب ابو خسيفاء,25.031769,45.575902
شعيب ابو خشبة,25.027842,45.573778
شعيب ابو خشبة,25.056875,46.053958
شعيب ابو خشبة,25.632241,45.650189
شعيب ابو خيسة,24.858391,46.23343
شعيب ابو خيسة,24.423423,46.612179
شعيب ابو خيسة,23.719139,46.30379
شعيب ابو دريب,24.304891,46.720004
شعيب ابو ديبان الأسفل,24.317465,46.697087
شعيب ابو ديبان الأعلى,24.120998,43.091125
شعيب ابو ذبان,25.93503,45.172842
شعيب ابو ذرية,25.118587,43.482749
شعيب ابو ركب,25.104039,43.564546
شعيب ابو ركب,25.223343,46.88997
شعيب ابو ركبة,25.693288,46.417193
شعيب ابو رمل,25.76766,46.337929
شعيب ابو رمل,24.3062,44.219542
شعيب ابو زروب,24.352248,44.312839
شعيب ابو زروب,24.639695,42.287149
شعيب ابو زريبة,23.565888,46.300035
شعيب ابو زويرة,23.62009,46.90115
شعيب ابو سحراء,24.437714,44.029598
شعيب ابو سدر,24.426041,44.138517
شعيب ابو سدر,23.6694,46.35812
شعيب ابو سدر,24.92888,45.569444
شعيب ابو سدر,26.222584,46.022329
شعيب ابو سديرة,24.995806,46.615806
شعيب ابو سديرة,23.844001,42.883158
شعيب ابو سرح,23.643887,46.280465
شعيب ابو سرح,22.56079,44.478149
شعيب ابو سروح,23.910027,43.80558
شعيب ابو سلم,23.808038,44.147251
شعيب ابو سلم,23.729439,44.180918
شعيب ابو سلم,24.795392,46.489441
شعيب ابو سلم,23.953629,42.064076
شعيب ابو سليم,24.193289,42.129693
شعيب ابو سليم,24.596286,42.282107
شعيب ابو سليم,24.899569,44.01859
شعيب ابو سليم,24.224296,42.743919
شعيب ابو سليم,24.188912,42.85552
شعيب ابو سليم,24.780564,43.676941
شعيب ابو سليم,24.824874,43.802512
شعيب ابو سليم,24.129496,43.770454
شعيب ابو سليم,22.100651,44.318783
شعيب ابو سليم,24.088061,45.28234
شعيب ابو سليم,24.078898,45.273457
شعيب ابو سليم,24.615426,43.659968
شعيب ابو سليم الشرقي,24.52745,43.685589
شعيب ابو سليم الشرقي,24.93639,46.683269
شعيب ابو سمادة,24.593732,42.445078
شعيب ابو سمر,24.451425,46.453092
شعيب ابو سمير,24.430504,43.943081
شعيب ابو سواد,24.408209,44.059596
شعيب ابو سواد,22.921236,46.649237
شعيب ابو سوس,24.89547,46.708653
شعيب ابو شجرة,26.624122,45.268843
شعيب ابو شويح,24.985678,46.633251
شعيب ابو شويح,24.405634,43.204336
شعيب ابو صفا,23.626914,46.269028
شعيب ابو صفا,23.52293,44.478321
شعيب ابو صفي,22.453415,46.178133
شعيب ابو صفي,24.918923,45.578284
شعيب ابو صفي,24.812644,45.870817
شعيب ابو صفي,23.939037,45.392933
شعيب ابو صلابيخ,21.869595,44.522245
شعيب ابو ضلوع,24.647505,44.944317
شعيب ابو طلاح,24.4487,43.618491
شعيب ابو طلح,24.374585,43.6937
شعيب ابو طلح,24.924374,45.575109
شعيب ابو طلح,26.73274,44.994142
شعيب ابو طليح,25.509739,45.849895
شعيب ابو طليح,25.746074,46.222894
شعيب ابو طليحه,24.56116,44.84971
شعيب ابو عاذر,24.296694,43.929262
شعيب ابو عجلة,26.872044,45.068986
شعيب ابو عرص,24.698617,43.878644
شعيب ابو عشر,25.823643,44.637644
شعيب ابو عشر,24.66995,43.670547
شعيب ابو عشر,24.688811,43.804615
شعيب ابو عشر,24.526205,44.290287
شعيب ابو عشر,24.54468,44.280224
شعيب ابو عشر,24.606543,44.213834
شعيب ابو عشر,24.893002,43.484252
