name,lon_lat,coor_type,category
حصن قرية,"[[41.156459, 20.386956]]",POINT,أسماء ثانوية
حصن لمغروس,"[[41.20785, 20.316253]]",POINT,أسماء ثانوية
حليان لهايل,"[[41.786692, 20.611854]]",POINT,أسماء ثانوية
حمى الجبور,"[[41.250808, 20.291126]]",POINT,أسماء ثانوية
حمى الحميد,"[[41.721439, 19.872122]]",POINT,أسماء ثانوية
حوره,"[[41.590548, 19.965484]]",POINT,أسماء ثانوية
خبة القوعاء,"[[40.904846, 20.038719]]",POINT,أسماء ثانوية
خشم الاحمر,"[[41.17238, 20.25409]]",POINT,أسماء ثانوية
خو العقيربان,"[[41.348634, 20.045843]]",POINT,أسماء ثانوية
دوس,"[[41.22242, 20.296211]]",POINT,أسماء ثانوية
ذيهدا,"[[41.363611, 19.719472]]",POINT,أسماء ثانوية
راس الصخره,"[[41.2236, 20.32475]]",POINT,أسماء ثانوية
راس غليسه,"[[41.209009, 20.291362]]",POINT,أسماء ثانوية
راك المحسني,"[[40.978167, 19.676836]]",POINT,أسماء ثانوية
راك المطهر,"[[41.004775, 19.690869]]",POINT,أسماء ثانوية
راك المنطف,"[[41.044815, 19.692972]]",POINT,أسماء ثانوية
راك خطيفان,"[[41.022713, 19.68426]]",POINT,أسماء ثانوية
ركيب السميرا,"[[41.283338, 19.804058]]",POINT,أسماء ثانوية
ركيب المعين,"[[41.291234, 19.824851]]",POINT,أسماء ثانوية
ركيب مناع,"[[41.305912, 19.80159]]",POINT,أسماء ثانوية
رهو الاثب,"[[41.345115, 20.04035]]",POINT,أسماء ثانوية
رهو رباع,"[[41.351938, 20.040565]]",POINT,أسماء ثانوية
رهي السقيفه,"[[41.218493, 20.325522]]",POINT,أسماء ثانوية
ريع اكتد,"[[41.080284, 20.037775]]",POINT,أسماء ثانوية
ريع الشغار,"[[41.128929, 20.058782]]",POINT,أسماء ثانوية
ريع الكحل,"[[41.672065, 19.995418]]",POINT,أسماء ثانوية
بادية غامد,"[[41.711118, 19.966214]]",POINT,أسماء ثانوية
بركة عيون الحمام,"[[41.299968, 19.818864]]",POINT,أسماء ثانوية
بلاد غامد,"[[41.642389, 19.904737]]",POINT,أسماء ثانوية
بلحنكة,"[[41.086614, 20.026252]]",POINT,أسماء ثانوية
بور الصيد,"[[41.348891, 20.045028]]",POINT,أسماء ثانوية
بير الضبيعة,"[[41.159892, 20.109293]]",POINT,أسماء ثانوية
تالبة الربيان,"[[41.426182, 20.063868]]",POINT,أسماء ثانوية
تل فريك القمع,"[[41.696162, 19.79393]]",POINT,أسماء ثانوية
اراك الصابر,"[[40.996706, 19.706168]]",POINT,أسماء ثانوية
ال دغمان,"[[41.403694, 20.20802]]",POINT,أسماء ثانوية
الاخرقه,"[[41.096013, 20.024643]]",POINT,أسماء ثانوية
الاساحة,"[[41.355951, 19.741187]]",POINT,أسماء ثانوية
البارده,"[[41.081443, 20.081635]]",POINT,أسماء ثانوية
الثغره,"[[41.207013, 20.278165]]",POINT,أسماء ثانوية
الثوده,"[[41.199524, 20.35964]]",POINT,أسماء ثانوية
الجزعة,"[[41.24759, 20.279109]]",POINT,أسماء ثانوية
الجفوف,"[[41.224179, 20.336723]]",POINT,أسماء ثانوية
الحازم,"[[40.98454, 20.188193]]",POINT,أسماء ثانوية
الحازم,"[[41.246388, 20.301297]]",POINT,أسماء ثانوية
الحجير,"[[41.423843, 20.02106]]",POINT,أسماء ثانوية
الحدب,"[[41.497078, 19.794509]]",POINT,أسماء ثانوية
الحزم,"[[41.871428, 20.462573]]",POINT,أسماء ثانوية
الحلق,"[[41.195254, 20.040929]]",POINT,أسماء ثانوية
الحماطه,"[[41.285162, 19.75492]]",POINT,أسماء ثانوية
الحمراء,"[[41.081057, 20.078008]]",POINT,أسماء ثانوية
الحمول,"[[41.365843, 19.944649]]",POINT,أسماء ثانوية
الخرق,"[[40.967546, 20.192807]]",POINT,أسماء ثانوية
الدارة,"[[42.102721, 20.513213]]",POINT,أسماء ثانوية
الدبة,"[[40.979326, 19.657416]]",POINT,أسماء ثانوية
الذنبه,"[[41.194418, 20.27293]]",POINT,أسماء ثانوية
الذنبه,"[[41.345716, 20.041144]]",POINT,أسماء ثانوية
الربوه,"[[41.150429, 20.48182]]",POINT,أسماء ثانوية
الريع الاسفل,"[[41.091056, 20.08142]]",POINT,أسماء ثانوية
الريع الاعلى,"[[41.081636, 20.086205]]",POINT,أسماء ثانوية
السطايح,"[[41.21448, 20.332689]]",POINT,أسماء ثانوية
السطايح,"[[41.350286, 20.042217]]",POINT,أسماء ثانوية
السقيفة,"[[41.249757, 20.378544]]",POINT,أسماء ثانوية
السكع,"[[41.549928, 19.849999]]",POINT,أسماء ثانوية
الشرفة,"[[41.593831, 19.889181]]",POINT,أسماء ثانوية
الشظي,"[[41.350522, 20.038869]]",POINT,أسماء ثانوية
الشعب الاسود,"[[41.406698, 20.061679]]",POINT,أسماء ثانوية
الشعبة,"[[40.98572, 20.195274]]",POINT,أسماء ثانوية
الشعيرة,"[[41.180449, 19.496698]]",POINT,أسماء ثانوية
الشقيب,"[[41.113715, 20.22053]]",POINT,أسماء ثانوية
الشنان,"[[41.344535, 20.042024]]",POINT,أسماء ثانوية
الصحون,"[[41.353269, 20.038118]]",POINT,أسماء ثانوية
الصخره,"[[41.282308, 19.754233]]",POINT,أسماء ثانوية
الصواعده,"[[41.082387, 20.030093]]",POINT,أسماء ثانوية
العجمه,"[[41.632197, 19.93304]]",POINT,أسماء ثانوية
العمياء,"[[41.226432, 20.259047]]",POINT,أسماء ثانوية
العيص,"[[41.323571, 20.087879]]",POINT,أسماء ثانوية
الغاير,"[[41.220961, 20.26381]]",POINT,أسماء ثانوية
الفرائد,"[[41.010933, 19.701083]]",POINT,أسماء ثانوية
الفرح,"[[41.71541, 19.843411]]",POINT,أسماء ثانوية
الفرشة,"[[41.312113, 19.884181]]",POINT,أسماء ثانوية
الفقاس,"[[41.082022, 20.027261]]",POINT,أسماء ثانوية
الفيشة,"[[41.148069, 20.24188]]",POINT,أسماء ثانوية
القاره,"[[41.32973, 19.851394]]",POINT,أسماء ثانوية
القرى,"[[41.265206, 19.909844]]",POINT,أسماء ثانوية
القزعه الحمراء,"[[41.21918, 20.336101]]",POINT,أسماء ثانوية
القنا,"[[41.283295, 19.757001]]",POINT,أسماء ثانوية
القوز,"[[41.245401, 19.425631]]",POINT,أسماء ثانوية
الكوفشه,"[[41.218944, 20.321488]]",POINT,أسماء ثانوية
الكيرس,"[[41.216648, 20.311189]]",POINT,أسماء ثانوية
المترنجح,"[[41.350286, 20.040286]]",POINT,أسماء ثانوية
المجنه,"[[41.20785, 20.317369]]",POINT,أسماء ثانوية
المد,"[[41.53332, 19.83382]]",POINT,أسماء ثانوية
المرات,"[[41.089897, 20.031745]]",POINT,أسماء ثانوية
المشربة,"[[41.348526, 20.039878]]",POINT,أسماء ثانوية
المضيلف,"[[40.966902, 19.629114]]",POINT,أسماء ثانوية
المعدا,"[[41.217463, 20.32239]]",POINT,أسماء ثانوية
المغلاة,"[[41.086507, 20.033054]]",POINT,أسماء ثانوية
