city,neighborhood_aname,neighborhood_ename,type,subtype_name,point_aname,point_ename,postal_code,building_no,additional_no,short_address,street_aname,street_ename,CentroidX,CentroidY
الرياض,الملقا,AL-MALQA,Restaurant,Other,كارميه,carmey,13521,3141,8292,RRMA3141,انس بن مالك,Anas Ibn Malik,46.6159546933218,24.806949660848
الرياض,الملقا,AL-MALQA,Auto-Service,Auto Agency,العيسى للسيارات,alissa auto,13521,3199,8325,RRME3199,انس بن مالك,Anas Ibn Malik,46.6162330902595,24.8070246138697
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,محل جدوف,juduf,13521,3199,8325,RRME3199,انس بن مالك,Anas Ibn Malik,46.6164222574096,24.807081720934
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,سنبل,sonbol,13521,3199,8325,RRME3199,انس بن مالك,Anas Ibn Malik,46.616361581154,24.8072601805094
الرياض,الملقا,AL-MALQA,Restaurant,Middle Eastern Restaurant,فونتي,fonte,13521,3199,8325,RRME3199,انس بن مالك,Anas Ibn Malik,46.616557886687,24.8071209820405
الرياض,الملقا,AL-MALQA,Restaurant,Other,غلوريا جينز كوفيز,gloria jean s coffees,13521,3199,8325,RRME3199,انس بن مالك,Anas Ibn Malik,46.6166863775814,24.8073601178716
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,بقالة حمد بن عبدالله,hamd bin ebdallh,13521,3312,6261,RRMG3312,سعود ابن فيصل الفرعي,Saud Ibn Faisal Branch,46.6173018053402,24.7885891763741
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,فنون المائدة,fanun almayida,,,,,,,46.6186851248265,24.8081346324292
الرياض,الملقا,AL-MALQA,Religious,Mosque,مسجد عبد الله العسكر,abdullah alaskar mosque,,,,,,,46.6186208793794,24.8078776506404
الرياض,الملقا,AL-MALQA,Restaurant,Middle Eastern Restaurant,مناقيش عمو درويش,manaqish eamw darwish,13521,3414,6313,RRMC3414,سعود ابن فيصل الفرعي,Saud Ibn Faisal Branch,46.6183487681829,24.7890055820503
الرياض,الملقا,AL-MALQA,Restaurant,Fast Food,فطيرة الفلافل,manaqish eamw darwish,13521,3442,6327,RRMC3442,سعود ابن فيصل الفرعي,Saud Ibn Faisal Branch,46.618652149461,24.7891067091429
الرياض,الملقا,AL-MALQA,Hotel,Hotel,الراجحي الشقق,al rajhi apartments,13521,3443,7228,RRME3443,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,46.6187568096789,24.7972838563554
الرياض,الملقا,AL-MALQA,Restaurant,Fast Food,تيلي بيتزا,"telepizza, al malqa",13521,3449,8443,RRMA3449,انس بن مالك,Anas Ibn Malik,46.619031336403,24.8081596167696
الرياض,الملقا,AL-MALQA,Restaurant,Fast Food,مطعم ليجند,liujannid restaurant,13521,3468,6340,RRMB3468,سعود ابن فيصل الفرعي,Saud Ibn Faisal Branch,46.6188603522991,24.7892018875831
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,تجيهيز حفلات الزفاف,tjihiz hafalat alzzifaf,13521,3483,8454,RRME3483,انس بن مالك,Anas Ibn Malik,46.6192669030426,24.8083380763451
الرياض,الملقا,AL-MALQA,Restaurant,Other,توتي كافيه,tutti cafe,13521,3499,8464,RRMB3499,انس بن مالك,Anas Ibn Malik,46.6195452999802,24.8083309379623
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,تموينات نوايا الخير,Goodwill Grocery,13521,3545,6734,RRMC3545,الحماسة,Al Hamaseih,46.6196227,24.7928751
الرياض,الملقا,AL-MALQA,Industrial,Company & Institution,الملقا بوليفارد,malga bolefard,13521,3551,8486,RRMB3551,انس بن مالك,Anas Ibn Malik,46.6196595141087,24.8086485960065
الرياض,الملقا,AL-MALQA,Restaurant,Fast Food,الدجاج المقرمش,alddijaj almuqarramsh,13521,3551,8486,RRMB3551,انس بن مالك,Anas Ibn Malik,46.6197094827898,24.8085129667291
الرياض,الملقا,AL-MALQA,Restaurant,Fast Food,كرسبي تشيكن,krispy chicken,13521,3551,8486,RRMB3551,انس بن مالك,Anas Ibn Malik,46.6200949554728,24.8088556091141
الرياض,الملقا,AL-MALQA,Restaurant,Other,شابي تشيك إكليرز,shabi tushik iiklyrz,13521,3551,8486,RRMB3551,انس بن مالك,Anas Ibn Malik,46.6197701590455,24.8083916142179
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,أثير للمواد الغذائية والخضار والفواكه,"Atheer For Food, Vegetables And Fruits",13521,3565,7305,RRMB3565,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,46.6199471560001,24.7980076150001
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,محل شجرة المكسرات,shajarat almukassarat,13521,3566,6388,RRMB3566,سعود ابن فيصل الفرعي,Saud Ibn Faisal Branch,46.6199192124467,24.7897253690045
الرياض,الملقا,AL-MALQA,School,Primary school,الابتدائية ٤٠٢ للبنات,402 primary for girls,,,,,,,46.6203152376647,24.7954761484202
الرياض,الملقا,AL-MALQA,Restaurant,Fast Food,وقت الفطيرة,waqt alfatira,13521,3594,6400,RRMA3594,سعود ابن فيصل الفرعي,Saud Ibn Faisal Branch,46.6201214666323,24.7897551122672
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,اسواق السفراء,alssufara,13521,3656,6428,RRMC3656,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,46.6207163318837,24.7900228016303
الرياض,الملقا,AL-MALQA,Financial Service,ATM Machine,صراف الإنماء,alinma atm,13521,3682,6442,RRMD3682,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,46.6209423806794,24.7901001341129
