branch_national_short_address,building_number,street,district,city,postal_code,latitude,longitude
RGSA9390,9390.0,الأمير تركي بن عبدالعزيز الأول,جامعة الملك سعود,الرياض,12373.0,24.74072498,46.62253013
RGNA4958,4958.0,سعود بن عبدالعزيز بن محمد الفرعي,حي النخيل,الرياض,12381.0,24.74107151,46.64625700
RHFA7639,7639.0,وادي البطحاء,حي الملك فهد,الرياض,12262.0,24.74270582,46.65853343
RHMA3055,3055.0,,حي المرسلات,الرياض,12464.0,24.75431882,46.68716265
RHMA2499,2499.0,سعود بن عبدالعزيز بن محمد الفرعي,حي المرسلات,الرياض,12463.0,24.75495521,46.68167921
RHRA4232,4232.0,الملك عبدالله ابن عبدالعزيز سعود الفرعي,حي المغرزات,الرياض,12482.0,24.75867833,46.73460081
RFQA7982,7982.0,المرباة,حي القدس,الرياض,13214.0,24.74929123,46.75529803
RSRA2915,2915.0,علي العريني,حي الرماية,الرياض,14611.0,24.75832257,46.85744728
RRHE7549,7549.0,طريق الملك خالد,حي حطين,الرياض,13518.0,24.76792402,46.57669904
RRHA7807,7807.0,طريق الملك خالد,حي حطين,الرياض,13514.0,24.75266730,46.58505310
RRHA6603,,,,,,Error,Error
RHNA7444,7444.0,طريق عثمان بن عفان,حي النزهة,الرياض,12472.0,24.75711629,46.71782623
RHKA2097,2097.0,الملك عبدالله ابن عبدالعزيز سعود الفرعي,حي الملك عبدالله,الرياض,12451.0,24.75177609,46.72222769
RFHA4558,4558.0,الملك عبدالله ابن عبدالعزيز سعود الفرعي,حي الحمراء,الرياض,13216.0,24.76711212,46.75577552
RFNB4326,4326.0,خريص الفرعي,حي النهضة,الرياض,13222.0,24.75783806,46.83026945
RRHA2337,,,,,,Error,Error
RRAB3350,3350.0,الامير محمد ابن سلمان ابن عبدالعزيز,حي العقيق,الرياض,13515.0,24.77240058,46.62578090
RRAA3015,3015.0,شارع المؤتمرات 1 ,حي العقيق,الرياض,13519.0,24.76083824,46.64016782
RAGA3623,3623.0,السيل الكبير,حي الغدير,الرياض,13311.0,24.77284163,46.65514327
RALA3292,3292.0,الطريق الدائري الشمالي الفرعي,حي النفل,الرياض,13312.0,24.77261579,46.67280866
RHYA2305,2305.0,الطريق الدائري الشمالي,حي المصيف,الرياض,12467.0,24.77049638,46.67144077
RHYB7120,7120.0,ابي بكر الصديق الفرعي,حي المصيف,الرياض,12466.0,24.76334330,46.69290461
RHRA3008,3008.0,الامير مقرن بن عبدالعزيز,حي المغرزات,الرياض,12483.0,24.76221907,46.72253240
RFFA3046,3046.0,بكر الباهلي,حي الملك فيصل,الرياض,13215.0,24.77141871,46.76948704
RFHA3890,3890.0,الملك عبدالله ابن عبدالعزيز سعود الفرعي,حي الحمراء,الرياض,13217.0,24.77148812,46.76707132
RFKA7771,7771.0,الشيخ سليمان بن عبدالله بن محمد,حي الخليج,الرياض,13223.0,24.77281161,46.79265469
RFNC3337,3337.0,الامير بندر بن عبدالعزيز,حي النهضة,الرياض,13222.0,24.77523681,46.82061317
RARA6409,6409.0,الملك عبدالعزيز ابن عبدالرحمن سعود,حي الربيع,الرياض,13316.0,24.78979307,46.65913028
RALA7463,7463.0,الملك عبدالعزيز ابن عبدالرحمن سعود الفرعي,حي النفل,الرياض,13312.0,24.78356713,46.66250158
RAWA7412,7412.0,عثمان بن عفان الفرعي,حي الوادي,الرياض,13313.0,24.78994294,46.70123225
RAWA4217,4217.0,غزة,حي الوادي,الرياض,13313.0,24.78401473,46.69997078
RFDA6623,6623.0,,حي الشهداء,الرياض,13241.0,24.78180077,46.73097299
RFDB3208,3208.0,عبدالله ابن سعود ابن عبدالعزيز الفرعي,حي الشهداء,الرياض,13241.0,24.77865522,46.73406461
RFBA3513,3513.0,على بن سعيد,حي اشبيلية,الرياض,13226.0,24.78590397,46.79902974
RFKE3313,3313.0,طريق الملك عبدالله بن عبدالعزيز,حي الخليج,الرياض,13224.0,24.79011436,46.80839894
RASB6656,6656.0,الثمامه,حي الصحافة,الرياض,13315.0,24.78328236,46.64461538
RARA7323,7323.0,طريق الملك عبدالعزيز,حي الربيع,الرياض,13316.0,24.79840867,46.65468615
RARA4180,4180.0,الامير محمد ابن سلمان ابن عبدالعزيز,حي الربيع,الرياض,13316.0,24.79264912,46.67335755
RRMB4162,4162.0,انس بن مالك,حي الملقا,الرياض,13524.0,24.80859574,46.61708015
RARC3769,3769.0,ابي بكر الصديق الفرعي,حي الربيع,الرياض,13316.0,24.80856284,46.66916715
RADB7000,7000.0,الامير سعود بن محمد بن مقرن,حي الندى,الرياض,13317.0,24.80283558,46.69476650
RADA7349,7349.0,أركان,حي الندى,الرياض,13317.0,24.80600947,46.69297740
RUQB2247,2247.0,طريق المطار,حي قرطبة,الرياض,13244.0,24.80826055,46.71667873
RUQA3210,3210.0,الدمام الفرعي,حي قرطبة,الرياض,13245.0,24.80228324,46.74365727
RUQB6783,6783.0,سعيد بن زيد,حي قرطبة,الرياض,13245.0,24.80723231,46.73739866
RFJA8055,8055.0, جابر الاحمد الصباح,حي القادسية,الرياض,13236.0,24.80546672,46.81240761
RAYH3742,3742.0,الثمامه,حي الياسمين,الرياض,13322.0,24.80702687,46.66063290
RASA4388,4388.0,الامير ناصر بن سعود بن فرحان ال سعود,حي الصحافة,الرياض,13321.0,24.81165250,46.64603617
RAYH3742,3742.0,الثمامه,حي الياسمين,الرياض,13322.0,24.80702687,46.66063290
RANA4754,4754.0,الثمامه,حي النرجس,الرياض,13323.0,24.81791431,46.68649443
RUQC3584,3584.0,الامير محمد ابن سلمان ابن عبدالعزيز,حي قرطبة,الرياض,13247.0,24.81593608,46.72885802
RFYA2073,2073.0,الدمام الفرعي,حي اليرموك,الرياض,13251.0,24.81485850,46.77672451
RUMA6073,6073.0, حسن ابن حسين ابن علي,حي المونسية,الرياض,13249.0,24.82490466,46.74995305
RFJC7289,7289.0, جابر الاحمد الصباح,حي القادسية,الرياض,13252.0,24.81812130,46.80321275
RRQA2912,2912.0,الامير سعود بن عبدالله بن جلوي,حي القيروان,الرياض,13535.0,24.82938159,46.57057974
RRMB2561,2561.0,الملك سلمان ابن عبدالعزيز سعود,حي الملقا,الرياض,13524.0,24.82066322,46.60167522
RAYD7461,7461.0,القادسية,حي الياسمين,الرياض,13326.0,24.83214228,46.64957250
RUKA7808,7808.0,شارع الملك الجنوبي,مطار الملك خالد,الرياض,13412.0,24.84673621,46.72563731
RTJA3046,3046.0,الشرق,حي الجنادرية,الرياض,13613.0,24.83302120,46.88341448
RRDC7373,7373.0,طريق الملك عبدالعزيز,حي العارض,الرياض,13332.0,24.84672874,46.63033380
RUKA7808,7808.0,شارع الملك الجنوبي,مطار الملك خالد,الرياض,13412.0,24.84673621,46.72563731
RUME3654,3654.0,طريق الثمامة,حي المونسية,الرياض,13421.0,24.84284362,46.75167098
RRNB6550,6550.0,الأمير محمد بن سعد بن عبدالعزيز,حي القيروان,الرياض,13542.0,24.85211795,46.57863093
RRDC7025,7025.0,الملك فهد,حي العارض,الرياض,13334.0,24.85133864,46.60284334
RAJA7915,7915.0,,حي النرجس,الرياض,13333.0,24.85872943,46.64671832
RANA2277,2277.0,طريق الملك سلمان بن عبدالعزيز,حي النرجس,الرياض,13328.0,24.85112952,46.67396093
RUMF3161,3161.0,طريق الثمامة,حي المونسية,الرياض,13249.0,24.84324174,46.75424658
RUMD4178,4178.0,الثمامه,حي المونسية,الرياض,13422.0,24.85347130,46.77169669
